Cluster,Part
1,AugName:gaussian_noise
3,AugName:mixup
3,AugName:noAug
10,FS_Method:biMaxInfgain
10,FS_Method:biMeanInfgain
10,FeatureNum:4.0
10,FeatureNum:5.0
10,FeatureNum:6.0
10,ImblName:SMOTE
10,Model:GradientBoosting
10,Model:XGBmodel
10,Norm_Order:first
10,Random_State:2026.0
10,Scaler:standard
10,Split_Ratio:0.1
9,FS_Method:infgain
9,FS_Method:noSelect
9,FeatureNum:7.0
9,FeatureNum:8.0
9,Norm_Order:last
9,Scaler:minmax
9,Split_Ratio:0.2
8,ImblName:ADASYN
8,Model:random_forest
7,ImblName:RandomUnderSampler
7,Prob_Threshold:0.35
6,ImblName:TomekLinks
6,ImblName:noImbl
6,Prob_Threshold:0.5
2,Model:DTmodel
5,Model:LogisticRegression
4,Model:sklearn_SVM
